Epoch 0/10 | Ep 63/100 | Scen: building_collapse | Cov: 100.0% | Vic: 7/7 | Col: 0 | Steps: 173
Epoch 0/10 | Ep 64/100 | Scen: building_collapse | Cov: 99.4% | Vic: 5/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 65/100 | Scen: building_collapse | Cov: 98.3% | Vic: 3/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 66/100 | Scen: building_collapse | Cov: 93.7% | Vic: 5/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 67/100 | Scen: building_collapse | Cov: 98.2% | Vic: 4/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 68/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 69/100 | Scen: building_collapse | Cov: 95.1% | Vic: 5/7 | Col: 14 | Steps: 500
Epoch 0/10 | Ep 70/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 71/100 | Scen: building_collapse | Cov: 89.6% | Vic: 7/7 | Col: 0 | Steps: 127
Epoch 0/10 | Ep 72/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 73/100 | Scen: building_collapse | Cov: 88.5% | Vic: 4/7 | Col: 40 | Steps: 500
Epoch 0/10 | Ep 74/100 | Scen: building_collapse | Cov: 97.4% | Vic: 4/7 | Col: 10 | Steps: 500
Epoch 0/10 | Ep 75/100 | Scen: building_collapse | Cov: 98.7% | Vic: 6/7 | Col: 10 | Steps: 500
Epoch 0/10 | Ep 76/100 | Scen: building_collapse | Cov: 96.5% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 77/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 78/100 | Scen: building_collapse | Cov: 96.3% | Vic: 5/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 79/100 | Scen: building_collapse | Cov: 97.9% | Vic: 7/7 | Col: 0 | Steps: 300
Epoch 0/10 | Ep 80/100 | Scen: building_collapse | Cov: 98.5% | Vic: 3/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 81/100 | Scen: building_collapse | Cov: 95.4% | Vic: 4/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 82/100 | Scen: building_collapse | Cov: 99.2% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 83/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 84/100 | Scen: building_collapse | Cov: 99.5% | Vic: 7/7 | Col: 0 | Steps: 232
Epoch 0/10 | Ep 85/100 | Scen: building_collapse | Cov: 99.4% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 86/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 87/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 88/100 | Scen: building_collapse | Cov: 96.7% | Vic: 7/7 | Col: 2 | Steps: 53
Epoch 0/10 | Ep 89/100 | Scen: building_collapse | Cov: 98.6% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 90/100 | Scen: building_collapse | Cov: 99.0% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 91/100 | Scen: building_collapse | Cov: 92.7% | Vic: 6/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 92/100 | Scen: building_collapse | Cov: 100.0% | Vic: 7/7 | Col: 0 | Steps: 162
Epoch 0/10 | Ep 93/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 94/100 | Scen: building_collapse | Cov: 98.8% | Vic: 6/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 95/100 | Scen: building_collapse | Cov: 98.3% | Vic: 4/7 | Col: 6 | Steps: 500
Epoch 0/10 | Ep 96/100 | Scen: building_collapse | Cov: 99.3% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 97/100 | Scen: building_collapse | Cov: 99.2% | Vic: 4/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 98/100 | Scen: building_collapse | Cov: 95.4% | Vic: 5/7 | Col: 16 | Steps: 500
Epoch 0/10 | Ep 99/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 0/100 | Scen: building_collapse | Cov: 100.0% | Vic: 4/7 | Col: 6 | Steps: 500
Epoch 0/10 | Ep 1/100 | Scen: building_collapse | Cov: 97.5% | Vic: 6/7 | Col: 16 | Steps: 500
Epoch 0/10 | Ep 2/100 | Scen: building_collapse | Cov: 99.3% | Vic: 6/7 | Col: 12 | Steps: 500
Epoch 0/10 | Ep 3/100 | Scen: building_collapse | Cov: 99.3% | Vic: 4/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 4/100 | Scen: building_collapse | Cov: 99.6% | Vic: 3/7 | Col: 10 | Steps: 500
Epoch 0/10 | Ep 5/100 | Scen: building_collapse | Cov: 96.3% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 6/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 7/100 | Scen: building_collapse | Cov: 99.7% | Vic: 4/7 | Col: 116 | Steps: 500
Epoch 0/10 | Ep 8/100 | Scen: building_collapse | Cov: 100.0% | Vic: 3/7 | Col: 40 | Steps: 500
Epoch 0/10 | Ep 9/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 10/100 | Scen: building_collapse | Cov: 99.9% | Vic: 3/7 | Col: 42 | Steps: 500
Epoch 0/10 | Ep 11/100 | Scen: building_collapse | Cov: 96.5% | Vic: 5/7 | Col: 108 | Steps: 500
Epoch 0/10 | Ep 12/100 | Scen: building_collapse | Cov: 100.0% | Vic: 4/7 | Col: 32 | Steps: 500
Epoch 0/10 | Ep 13/100 | Scen: building_collapse | Cov: 96.8% | Vic: 6/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 14/100 | Scen: building_collapse | Cov: 96.3% | Vic: 5/7 | Col: 30 | Steps: 500
